nome,cpf,email,endereco,data_nascimento,idade,telefone,salario,avaliacao,vendas
Luana Sá,209.568.713-21,gustavo-henrique60@example.org,"Fazenda Souza, 6
Manacas
50817-960 da Cunha Alegre / AP",1952-04-20,62,+55 84 7033 3227,5446,2,444
Srta. Agatha Vieira,960.734.258-56,eduardada-mata@example.org,"Feira de Ramos, 35
Cenaculo
55594-169 Sousa da Prata / GO",1944-12-23,25,21 4542 0053,2271,5,373
Emilly Costela,714.590.236-25,heitor17@example.net,"Núcleo Pietro Farias, 6
Campo Alegre
51015939 Siqueira / PA",1990-05-27,44,+55 (071) 0598 7908,9324,3,31
Srta. Caroline Macedo,103.845.769-66,allanada-rocha@example.org,"Rodovia de Andrade, 30
Santa Helena
63517-839 Montenegro de Barbosa / CE",1985-05-22,51,+55 (021) 9846-7978,9904,3,145
Ayla Peixoto,460.827.359-00,vitoriaribeiro@example.com,"Setor de Brito, 36
Vila Rica
06647542 Abreu do Campo / RR",1966-07-14,19,0900-888-5077,5979,3,307
Liam Guerra,021.748.396-87,fonsecamarcelo@example.org,"Setor Leão, 49
Vila São Rafael
32167453 Duarte de Pereira / TO",1983-03-21,61,+55 51 8855 7661,1422,5,77
Srta. Isis Gonçalves,934.157.620-25,stella62@example.org,"Travessa Cavalcanti, 8
Santa Isabel
29351-043 da Rosa Grande / SP",1978-09-10,34,(051) 2980-9885,2677,5,196
Zoe da Rosa,012.594.873-50,noah01@example.net,"Viaduto Melo
Santa Rita De Cássia
60797-136 Fonseca Paulista / MS",1963-09-06,43,0800 133 5630,5079,1,168
Heloisa Vieira,032.758.619-21,rodrigo15@example.com,"Vale de Garcia, 809
Jaqueline
37889-561 Cavalcante de Alves / ES",1958-11-14,55,11 4593 5616,8019,1,53
Lara Nascimento,701.594.862-11,davi-luiz11@example.org,"Feira Lucas Sousa, 59
Barro Preto
62886118 Guerra Paulista / PR",1975-08-08,36,11 4665-6431,8695,5,140
Sr. Rael Sales,806.197.452-58,raulcunha@example.org,"Via Yan Gomes, 27
Nossa Senhora Da Conceição
96189714 Caldeira do Amparo / RN",1948-12-29,62,41 5682-2835,9557,5,84
Dra. Daniela Moura,489.135.206-05,erick54@example.net,"Quadra Cirino, 6
Palmares
23245-537 Borges da Mata / DF",1948-02-18,80,+55 11 7050 1118,9044,4,468
Henry Mendonça,619.502.438-42,carlos-eduardoteixeira@example.net,"Colônia Barros, 37
Acaiaca
42236-453 Gomes / AL",2001-10-29,24,+55 11 1878-3745,4876,4,449
Laura Gonçalves,942.603.815-98,csantos@example.com,"Travessa Antonella Guerra, 8
Pantanal
62507-451 Costa / PR",1986-05-30,57,+55 41 0439-4439,5745,3,133
